data_venda,produto_id,produto_nome,categoria,canal_venda,regiao,cliente_tipo,quantidade,preco_unitario,custo_unitario,vendedor_id,estoque_disponivel
2023-07-05,P005,Câmera de Ré,Segurança,Varejo,Norte,Pessoa Jurídica,3,545.43,313.7,V769,37
2024-08-17,P001,Sensor de Estacionamento,Segurança,Oficina,Nordeste,Pessoa Jurídica,6,375.17,287.99,V382,26
2023-05-16,P001,Sensor de Estacionamento,Segurança,Oficina,Norte,Pessoa Física,2,345.05,239.3,V978,32
2020-07-01,P001,Sensor de Estacionamento,Segurança,E-commerce,Nordeste,Pessoa Física,5,261.13,169.67,V615,34
2022-12-28,P005,Câmera de Ré,Segurança,Oficina,Sudeste,Pessoa Jurídica,1,130.52,104.2,V257,28
2020-08-25,P004,Filtro de Ar Esportivo,Performance,Varejo,Nordeste,Pessoa Jurídica,5,718.45,520.38,V136,23
2023-05-27,P002,Kit Xenon,Iluminação,E-commerce,Centro-Oeste,Pessoa Física,1,486.94,327.07,V799,32
2022-02-21,P002,Kit Xenon,Iluminação,E-commerce,Sudeste,Pessoa Física,4,306.11,188.42,V260,2
2024-12-12,P003,Central Multimídia,Som,Oficina,Nordeste,Pessoa Física,2,489.76,382.43,V669,2
2020-07-30,P003,Central Multimídia,Som,E-commerce,Sul,Pessoa Física,8,149.29,84.0,V953,22
2023-12-07,P001,Sensor de Estacionamento,Segurança,Oficina,Norte,Pessoa Jurídica,2,277.91,163.57,V884,39
2022-11-09,P002,Kit Xenon,Iluminação,Oficina,Sudeste,Pessoa Física,1,195.63,139.42,V138,28
2024-02-27,P002,Kit Xenon,Iluminação,Oficina,Centro-Oeste,Pessoa Física,10,666.55,495.27,V507,12
2023-01-30,P002,Kit Xenon,Iluminação,Varejo,Norte,Pessoa Jurídica,10,103.63,71.34,V119,0
2025-01-19,P001,Sensor de Estacionamento,Segurança,E-commerce,Norte,Pessoa Física,8,591.38,436.87,V982,22
2021-11-11,P003,Central Multimídia,Som,E-commerce,Centro-Oeste,Pessoa Física,2,165.79,111.66,V953,24
2024-12-08,P004,Filtro de Ar Esportivo,Performance,Oficina,Centro-Oeste,Pessoa Física,10,479.85,281.17,V413,21
2022-09-08,P005,Câmera de Ré,Segurança,Oficina,Sul,Pessoa Jurídica,1,126.14,94.2,V153,42
2021-08-04,P003,Central Multimídia,Som,Oficina,Norte,Pessoa Física,5,465.57,340.33,V719,4
2024-06-22,P004,Filtro de Ar Esportivo,Performance,Oficina,Centro-Oeste,Pessoa Física,7,159.74,82.35,V983,29
2022-01-21,P005,Câmera de Ré,Segurança,E-commerce,Sudeste,Pessoa Física,3,546.2,392.08,V368,49
2020-08-31,P002,Kit Xenon,Iluminação,Oficina,Sudeste,Pessoa Jurídica,10,326.07,240.82,V930,18
2021-08-21,P003,Central Multimídia,Som,E-commerce,Sudeste,Pessoa Física,10,154.92,78.64,V216,22
2020-06-20,P004,Filtro de Ar Esportivo,Performance,E-commerce,Centro-Oeste,Pessoa Física,9,581.95,301.13,V733,0
2024-12-25,P003,Central Multimídia,Som,Oficina,Sul,Pessoa Jurídica,2,267.85,141.47,V700,39
2023-07-13,P004,Filtro de Ar Esportivo,Performance,Oficina,Norte,Pessoa Jurídica,5,546.79,358.15,V803,4
2021-07-24,P005,Câmera de Ré,Segurança,Varejo,Norte,Pessoa Jurídica,6,611.03,314.26,V253,15
2021-08-08,P002,Kit Xenon,Iluminação,E-commerce,Sul,Pessoa Física,3,630.49,317.97,V319,4
2023-04-12,P004,Filtro de Ar Esportivo,Performance,Oficina,Centro-Oeste,Pessoa Física,1,317.99,252.44,V552,11
2021-06-12,P002,Kit Xenon,Iluminação,Oficina,Sul,Pessoa Física,10,634.36,470.74,V711,32
2022-12-26,P003,Central Multimídia,Som,Varejo,Nordeste,Pessoa Jurídica,5,378.95,259.49,V936,35
2022-08-03,P004,Filtro de Ar Esportivo,Performance,E-commerce,Nordeste,Pessoa Física,2,282.63,142.61,V758,31
2024-09-30,P004,Filtro de Ar Esportivo,Performance,Oficina,Nordeste,Pessoa Física,1,477.56,336.77,V115,23
2024-10-05,P003,Central Multimídia,Som,Oficina,Centro-Oeste,Pessoa Jurídica,7,760.98,578.47,V259,26
2020-11-18,P004,Filtro de Ar Esportivo,Performance,E-commerce,Nordeste,Pessoa Jurídica,4,502.83,309.97,V479,32
2022-11-03,P003,Central Multimídia,Som,Varejo,Sudeste,Pessoa Jurídica,1,667.84,498.34,V367,2
2024-07-07,P003,Central Multimídia,Som,Varejo,Sul,Pessoa Jurídica,1,772.83,596.32,V655,28
2023-05-17,P002,Kit Xenon,Iluminação,E-commerce,Sul,Pessoa Jurídica,2,127.27,87.24,V826,16
2023-07-01,P003,Central Multimídia,Som,Oficina,Norte,Pessoa Jurídica,10,323.28,243.58,V701,33
2022-08-01,P001,Sensor de Estacionamento,Segurança,E-commerce,Centro-Oeste,Pessoa Física,3,297.3,159.19,V600,49
2021-09-02,P002,Kit Xenon,Iluminação,E-commerce,Nordeste,Pessoa Jurídica,8,614.55,455.41,V860,35
2021-09-18,P002,Kit Xenon,Iluminação,E-commerce,Nordeste,Pessoa Física,10,396.43,265.83,V838,48
2019-06-09,P001,Sensor de Estacionamento,Segurança,Oficina,Nordeste,Pessoa Física,3,388.83,237.81,V195,23
2021-03-19,P002,Kit Xenon,Iluminação,Varejo,Nordeste,Pessoa Física,7,751.53,569.3,V468,12
2023-01-01,P001,Sensor de Estacionamento,Segurança,E-commerce,Centro-Oeste,Pessoa Física,7,628.18,333.52,V372,48
2020-08-30,P005,Câmera de Ré,Segurança,Oficina,Centro-Oeste,Pessoa Física,4,678.52,404.41,V798,18
2022-10-22,P003,Central Multimídia,Som,Oficina,Nordeste,Pessoa Física,1,137.44,108.24,V175,8
2022-10-08,P001,Sensor de Estacionamento,Segurança,Varejo,Sul,Pessoa Física,7,769.76,541.17,V663,18
2025-04-04,P004,Filtro de Ar Esportivo,Performance,Oficina,Centro-Oeste,Pessoa Física,10,542.29,344.1,V198,11
2024-09-05,P001,Sensor de Estacionamento,Segurança,E-commerce,Sul,Pessoa Física,9,487.59,274.91,V664,22
2020-04-06,P002,Kit Xenon,Iluminação,Oficina,Sul,Pessoa Física,9,179.43,139.83,V285,38
2024-11-28,P005,Câmera de Ré,Segurança,Oficina,Nordeste,Pessoa Física,10,409.07,313.47,V334,10
2023-01-07,P001,Sensor de Estacionamento,Segurança,E-commerce,Centro-Oeste,Pessoa Física,2,778.06,549.63,V591,16
2019-07-16,P005,Câmera de Ré,Segurança,Oficina,Nordeste,Pessoa Física,6,158.87,112.84,V269,8
2021-06-09,P002,Kit Xenon,Iluminação,E-commerce,Nordeste,Pessoa Jurídica,2,724.33,394.02,V128,36
2023-12-14,P002,Kit Xenon,Iluminação,E-commerce,Nordeste,Pessoa Física,6,790.65,484.1,V932,21
2024-02-26,P002,Kit Xenon,Iluminação,E-commerce,Centro-Oeste,Pessoa Física,4,265.68,205.19,V400,3
2023-10-26,P003,Central Multimídia,Som,E-commerce,Norte,Pessoa Física,4,363.38,190.79,V544,43
2024-07-20,P001,Sensor de Estacionamento,Segurança,Varejo,Sudeste,Pessoa Jurídica,6,593.56,341.07,V630,38
2022-10-04,P002,Kit Xenon,Iluminação,Oficina,Nordeste,Pessoa Física,3,277.58,172.53,V737,19
2021-04-11,P003,Central Multimídia,Som,E-commerce,Nordeste,Pessoa Jurídica,8,182.27,126.63,V100,2
2022-01-15,P003,Central Multimídia,Som,Oficina,Centro-Oeste,Pessoa Jurídica,9,362.41,212.27,V923,32
2024-05-22,P004,Filtro de Ar Esportivo,Performance,Oficina,Centro-Oeste,Pessoa Jurídica,6,405.44,300.28,V784,31
2019-07-20,P003,Central Multimídia,Som,E-commerce,Norte,Pessoa Física,5,130.38,101.36,V863,36
2020-02-08,P001,Sensor de Estacionamento,Segurança,E-commerce,Norte,Pessoa Física,4,487.7,385.67,V501,46
2022-11-10,P002,Kit Xenon,Iluminação,Oficina,Sudeste,Pessoa Jurídica,9,251.77,148.13,V612,2
2020-08-12,P005,Câmera de Ré,Segurança,E-commerce,Sudeste,Pessoa Jurídica,7,131.81,77.02,V835,15
2019-09-14,P003,Central Multimídia,Som,E-commerce,Sul,Pessoa Física,8,376.17,200.13,V472,7
2021-06-19,P004,Filtro de Ar Esportivo,Performance,Varejo,Centro-Oeste,Pessoa Física,10,231.68,148.07,V797,49
2021-08-19,P003,Central Multimídia,Som,E-commerce,Centro-Oeste,Pessoa Física,5,782.08,622.43,V601,16
2022-09-29,P001,Sensor de Estacionamento,Segurança,E-commerce,Nordeste,Pessoa Jurídica,9,316.67,235.65,V831,47
2019-11-22,P001,Sensor de Estacionamento,Segurança,Oficina,Norte,Pessoa Jurídica,3,675.78,530.45,V355,4
2023-03-01,P001,Sensor de Estacionamento,Segurança,E-commerce,Centro-Oeste,Pessoa Física,9,392.77,306.29,V341,44
2023-08-11,P002,Kit Xenon,Iluminação,Varejo,Nordeste,Pessoa Jurídica,5,118.46,72.61,V164,17
2023-05-20,P005,Câmera de Ré,Segurança,E-commerce,Sul,Pessoa Física,1,363.72,263.65,V316,21
2021-06-09,P005,Câmera de Ré,Segurança,E-commerce,Sudeste,Pessoa Jurídica,1,686.83,439.99,V198,0
2020-03-08,P004,Filtro de Ar Esportivo,Performance,E-commerce,Nordeste,Pessoa Física,5,139.46,105.91,V808,30
2023-11-02,P002,Kit Xenon,Iluminação,E-commerce,Sudeste,Pessoa Jurídica,5,797.65,531.74,V664,36
2023-07-08,P002,Kit Xenon,Iluminação,Varejo,Sul,Pessoa Jurídica,10,694.75,398.93,V177,8
2024-02-22,P002,Kit Xenon,Iluminação,E-commerce,Sudeste,Pessoa Física,1,767.84,523.55,V545,0
2024-10-05,P004,Filtro de Ar Esportivo,Performance,Oficina,Sul,Pessoa Jurídica,1,629.9,323.81,V194,7
2023-04-17,P001,Sensor de Estacionamento,Segurança,Oficina,Norte,Pessoa Física,7,570.1,374.04,V217,2
2024-05-27,P004,Filtro de Ar Esportivo,Performance,Oficina,Sul,Pessoa Jurídica,2,696.53,463.59,V488,29
2024-12-03,P001,Sensor de Estacionamento,Segurança,E-commerce,Centro-Oeste,Pessoa Jurídica,9,512.97,330.36,V306,36
2021-06-15,P003,Central Multimídia,Som,Oficina,Sudeste,Pessoa Física,5,547.55,406.02,V202,37
2023-12-30,P005,Câmera de Ré,Segurança,Varejo,Centro-Oeste,Pessoa Jurídica,2,345.41,233.83,V897,14
2020-08-19,P004,Filtro de Ar Esportivo,Performance,Varejo,Sul,Pessoa Jurídica,3,732.91,443.03,V265,32
2024-04-28,P003,Central Multimídia,Som,Oficina,Sul,Pessoa Jurídica,8,737.33,434.57,V205,16
2020-10-29,P001,Sensor de Estacionamento,Segurança,Oficina,Sul,Pessoa Física,5,657.53,419.38,V500,9
2019-05-21,P003,Central Multimídia,Som,Varejo,Nordeste,Pessoa Física,1,280.77,179.06,V645,5
2024-09-05,P001,Sensor de Estacionamento,Segurança,Oficina,Nordeste,Pessoa Física,5,343.19,193.13,V142,47
2021-02-27,P005,Câmera de Ré,Segurança,Varejo,Norte,Pessoa Jurídica,3,476.08,303.76,V947,30
2022-08-31,P004,Filtro de Ar Esportivo,Performance,E-commerce,Sul,Pessoa Jurídica,6,588.37,325.97,V795,24
2024-01-21,P004,Filtro de Ar Esportivo,Performance,E-commerce,Nordeste,Pessoa Jurídica,3,712.02,466.07,V771,49
2020-09-07,P004,Filtro de Ar Esportivo,Performance,Varejo,Sul,Pessoa Jurídica,10,256.69,191.63,V565,27
2022-12-22,P004,Filtro de Ar Esportivo,Performance,Varejo,Nordeste,Pessoa Física,10,223.91,117.91,V612,4
2024-05-06,P003,Central Multimídia,Som,Oficina,Nordeste,Pessoa Física,9,349.19,268.27,V177,25
2021-12-12,P004,Filtro de Ar Esportivo,Performance,E-commerce,Sudeste,Pessoa Física,9,164.6,106.06,V313,46
2022-04-29,P001,Sensor de Estacionamento,Segurança,Varejo,Sudeste,Pessoa Física,8,711.51,552.32,V672,16
2021-01-31,P003,Central Multimídia,Som,E-commerce,Norte,Pessoa Jurídica,10,707.81,371.85,V966,14
2020-12-03,P004,Filtro de Ar Esportivo,Performance,Varejo,Sul,Pessoa Física,8,439.17,301.04,V177,23
2020-03-01,P004,Filtro de Ar Esportivo,Performance,Varejo,Sul,Pessoa Jurídica,2,623.23,318.47,V411,6
2022-10-03,P003,Central Multimídia,Som,Oficina,Nordeste,Pessoa Física,3,726.64,474.86,V850,44
2021-07-22,P001,Sensor de Estacionamento,Segurança,E-commerce,Norte,Pessoa Física,2,413.19,272.62,V114,24
2019-06-28,P005,Câmera de Ré,Segurança,Oficina,Centro-Oeste,Pessoa Jurídica,7,364.1,184.24,V372,38
2020-06-30,P002,Kit Xenon,Iluminação,Varejo,Norte,Pessoa Física,6,329.25,176.45,V244,12
2019-11-16,P002,Kit Xenon,Iluminação,Oficina,Centro-Oeste,Pessoa Jurídica,4,431.78,261.89,V332,44
2020-10-27,P002,Kit Xenon,Iluminação,Oficina,Centro-Oeste,Pessoa Jurídica,2,160.84,106.34,V133,46
2023-08-05,P001,Sensor de Estacionamento,Segurança,Oficina,Nordeste,Pessoa Física,8,510.57,341.74,V653,40
2022-05-29,P002,Kit Xenon,Iluminação,Oficina,Nordeste,Pessoa Jurídica,5,354.16,245.71,V837,44
2025-01-07,P005,Câmera de Ré,Segurança,Varejo,Centro-Oeste,Pessoa Jurídica,6,524.04,299.31,V761,20
2024-01-02,P001,Sensor de Estacionamento,Segurança,E-commerce,Norte,Pessoa Física,6,355.75,229.94,V449,10
2024-08-06,P004,Filtro de Ar Esportivo,Performance,Varejo,Sul,Pessoa Jurídica,8,727.74,381.39,V342,30
2022-11-01,P002,Kit Xenon,Iluminação,E-commerce,Sul,Pessoa Física,8,587.87,469.81,V105,1
2020-04-20,P002,Kit Xenon,Iluminação,Varejo,Centro-Oeste,Pessoa Física,4,778.63,591.49,V745,48
2022-03-02,P001,Sensor de Estacionamento,Segurança,Varejo,Norte,Pessoa Jurídica,8,606.03,452.26,V293,14
2022-12-19,P002,Kit Xenon,Iluminação,Varejo,Sudeste,Pessoa Física,8,433.63,325.91,V744,5
2020-03-07,P005,Câmera de Ré,Segurança,Oficina,Nordeste,Pessoa Física,10,326.58,204.97,V324,19
2020-10-02,P004,Filtro de Ar Esportivo,Performance,E-commerce,Centro-Oeste,Pessoa Física,1,470.89,335.35,V753,37
2022-01-16,P001,Sensor de Estacionamento,Segurança,Varejo,Sudeste,Pessoa Jurídica,5,454.27,354.15,V944,42
2021-10-09,P002,Kit Xenon,Iluminação,Varejo,Centro-Oeste,Pessoa Jurídica,3,136.28,81.9,V109,4
2023-10-13,P002,Kit Xenon,Iluminação,Oficina,Sudeste,Pessoa Jurídica,7,484.25,271.43,V267,1
2023-04-30,P002,Kit Xenon,Iluminação,E-commerce,Sudeste,Pessoa Jurídica,4,278.25,196.01,V884,8
2021-02-07,P004,Filtro de Ar Esportivo,Performance,E-commerce,Sul,Pessoa Física,8,524.27,387.06,V194,48
2024-10-03,P004,Filtro de Ar Esportivo,Performance,E-commerce,Norte,Pessoa Jurídica,5,681.43,537.99,V433,10
2020-06-29,P003,Central Multimídia,Som,Varejo,Sul,Pessoa Física,9,243.5,149.45,V612,39
2021-06-19,P001,Sensor de Estacionamento,Segurança,Varejo,Sul,Pessoa Física,6,133.67,98.17,V878,40
2023-03-10,P001,Sensor de Estacionamento,Segurança,Oficina,Sul,Pessoa Jurídica,5,241.14,132.41,V824,36
2024-12-04,P003,Central Multimídia,Som,Oficina,Sul,Pessoa Jurídica,5,264.98,182.87,V673,3
2020-07-17,P001,Sensor de Estacionamento,Segurança,Oficina,Nordeste,Pessoa Física,9,714.04,441.09,V395,7
2019-08-01,P001,Sensor de Estacionamento,Segurança,Varejo,Sudeste,Pessoa Física,7,599.65,461.67,V736,37
2022-05-27,P005,Câmera de Ré,Segurança,E-commerce,Sudeste,Pessoa Física,1,623.33,405.67,V764,16
2022-08-06,P005,Câmera de Ré,Segurança,Varejo,Nordeste,Pessoa Física,1,374.04,246.7,V920,39
2019-07-11,P003,Central Multimídia,Som,Varejo,Sul,Pessoa Jurídica,8,536.97,287.32,V745,2
2022-01-24,P003,Central Multimídia,Som,E-commerce,Sul,Pessoa Física,7,611.38,432.93,V599,14
2020-10-10,P004,Filtro de Ar Esportivo,Performance,Varejo,Nordeste,Pessoa Jurídica,1,473.42,363.67,V519,28
2023-07-26,P001,Sensor de Estacionamento,Segurança,Oficina,Sudeste,Pessoa Física,6,626.68,446.26,V510,32
2019-05-16,P004,Filtro de Ar Esportivo,Performance,E-commerce,Sul,Pessoa Física,4,498.92,363.58,V734,9
2020-11-29,P004,Filtro de Ar Esportivo,Performance,Varejo,Norte,Pessoa Física,1,172.04,113.71,V914,35
2021-09-11,P004,Filtro de Ar Esportivo,Performance,Oficina,Centro-Oeste,Pessoa Jurídica,8,522.77,340.16,V747,4
2023-08-13,P005,Câmera de Ré,Segurança,E-commerce,Centro-Oeste,Pessoa Jurídica,4,605.58,433.6,V194,35
2021-07-01,P005,Câmera de Ré,Segurança,E-commerce,Nordeste,Pessoa Jurídica,4,601.33,408.73,V759,10
2022-04-29,P005,Câmera de Ré,Segurança,Varejo,Norte,Pessoa Jurídica,10,339.77,193.06,V122,46
2021-10-27,P001,Sensor de Estacionamento,Segurança,E-commerce,Centro-Oeste,Pessoa Física,10,763.1,416.66,V240,39
2020-08-02,P003,Central Multimídia,Som,E-commerce,Norte,Pessoa Física,2,528.02,266.88,V927,42
2025-01-06,P002,Kit Xenon,Iluminação,Varejo,Norte,Pessoa Física,4,743.13,547.71,V904,7
2020-04-05,P001,Sensor de Estacionamento,Segurança,Varejo,Nordeste,Pessoa Jurídica,10,639.87,391.81,V150,28
2021-10-17,P004,Filtro de Ar Esportivo,Performance,E-commerce,Centro-Oeste,Pessoa Jurídica,8,688.31,532.21,V868,45
2021-10-29,P002,Kit Xenon,Iluminação,E-commerce,Centro-Oeste,Pessoa Jurídica,5,789.39,593.36,V281,22
2021-01-03,P001,Sensor de Estacionamento,Segurança,Varejo,Centro-Oeste,Pessoa Jurídica,9,332.5,197.32,V470,39
2024-04-08,P005,Câmera de Ré,Segurança,Oficina,Sul,Pessoa Jurídica,5,365.51,264.36,V301,25
2022-05-10,P005,Câmera de Ré,Segurança,E-commerce,Norte,Pessoa Jurídica,9,179.99,112.38,V701,10
2023-02-25,P005,Câmera de Ré,Segurança,Varejo,Sul,Pessoa Física,6,342.44,206.86,V517,26
2022-11-04,P004,Filtro de Ar Esportivo,Performance,Oficina,Sul,Pessoa Jurídica,1,510.95,260.51,V862,23
2023-03-17,P004,Filtro de Ar Esportivo,Performance,Varejo,Sul,Pessoa Física,9,448.86,280.84,V955,32
2022-11-22,P003,Central Multimídia,Som,E-commerce,Sudeste,Pessoa Física,1,646.35,377.0,V765,27
2021-09-08,P003,Central Multimídia,Som,Varejo,Norte,Pessoa Jurídica,2,564.48,312.39,V183,40
2023-06-29,P001,Sensor de Estacionamento,Segurança,Varejo,Sul,Pessoa Jurídica,1,490.11,371.6,V162,39
2024-10-31,P001,Sensor de Estacionamento,Segurança,E-commerce,Sudeste,Pessoa Física,1,309.72,183.66,V314,18
2022-11-17,P002,Kit Xenon,Iluminação,Oficina,Norte,Pessoa Jurídica,1,125.58,80.57,V523,18
2022-07-11,P004,Filtro de Ar Esportivo,Performance,Varejo,Nordeste,Pessoa Física,2,305.83,218.43,V293,27
2020-11-22,P004,Filtro de Ar Esportivo,Performance,E-commerce,Nordeste,Pessoa Jurídica,1,380.53,254.15,V930,3
2021-09-09,P005,Câmera de Ré,Segurança,Oficina,Nordeste,Pessoa Física,1,334.05,174.59,V742,31
2020-11-11,P003,Central Multimídia,Som,Varejo,Sul,Pessoa Física,10,289.52,200.7,V479,32
2022-09-08,P003,Central Multimídia,Som,Varejo,Sul,Pessoa Jurídica,7,785.25,590.46,V490,28
2024-04-28,P002,Kit Xenon,Iluminação,E-commerce,Sul,Pessoa Física,8,118.97,67.41,V542,7
2020-04-08,P003,Central Multimídia,Som,E-commerce,Centro-Oeste,Pessoa Física,6,337.49,226.4,V150,32
2023-08-16,P002,Kit Xenon,Iluminação,Oficina,Sudeste,Pessoa Física,8,169.61,97.18,V177,31
2024-10-17,P003,Central Multimídia,Som,Oficina,Nordeste,Pessoa Jurídica,8,664.8,524.39,V599,36
2023-03-06,P002,Kit Xenon,Iluminação,Oficina,Nordeste,Pessoa Física,6,243.49,143.16,V106,9
2024-08-31,P001,Sensor de Estacionamento,Segurança,Varejo,Sudeste,Pessoa Jurídica,7,615.13,464.08,V723,18
2023-01-02,P001,Sensor de Estacionamento,Segurança,Oficina,Sudeste,Pessoa Física,4,550.05,391.19,V996,46
